title,price,disc_price
Shantae: Half-Genie Hero Ultimate Edition,"379,00₴","189,00₴"
Dead by Daylight - Leatherface™,"79,00₴","39,00₴"
Oblivion Override,"375,00₴","300,00₴"
DJMAX RESPECT V - BLACK SQUARE PACK,"468,00₴","94,00₴"
Aliens: Dark Descent - Lethe Recon Pack,"79,00₴","59,00₴"
The Room Two,"99,00₴","60,00₴"
Tom Clancy's Splinter Cell Conviction™ Deluxe Edition,"225,00₴","56,00₴"
Aragami,"279,00₴","69,00₴"
DELUXE PLUS EDITION - DJMAX RESPECT V,"4 320,00₴","1 089,00₴"
DJMAX RESPECT V - Portable 3 PACK,"468,00₴","94,00₴"
Sniper Elite 5: Target Führer - Wolf Mountain,"129,00₴","83,00₴"
Titanfall® 2: Angel City's Most Wanted Bundle,"749,00₴","374,00₴"
Muv-Luv Alternative (マブラヴ オルタネイティヴ),"960,00₴","480,00₴"
SUPERHOT ONE OF US BUNDLE,"698,00₴","207,00₴"
BLACKTAIL - Game + OST Bundle,None,None
I Expect You To Die 2: The Spy and the Liar,"329,00₴","223,00₴"
Obscure II (Obscure: The Aftermath),"169,00₴","67,00₴"
Gas Station Simulator - Airstrip DLC,"187,00₴","149,00₴"
DJMAX RESPECT V - GROOVE COASTER PACK,"351,00₴","70,00₴"
LEGO® Brawls,"290,00₴","72,00₴"
Monster Energy Supercross - The Official Videogame 6,"999,00₴","499,00₴"
Hatred,"119,00₴","61,00₴"
Dead by Daylight - Darkness Among Us Chapter,"99,00₴","49,00₴"
Muv-Luv (マブラヴ),"720,00₴","288,00₴"
Quest Hunter,"415,00₴","83,00₴"
